destination_name,country,continent,type,avg_cost_usd_day,best_season,avg_rating,annual_visitors_m,unesco_site,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,climate_label
Ancient Forest,Brazil,South America,Nature,108.04,Summer,4.4,8.7,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Grand Ruins,Brazil,South America,Religious,74.59,Spring,4.8,1.1,Yes,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Mystic Forest,India,Asia,Beach,94.68,Spring,4.1,7.43,No,Mid-range,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Sacred Park,Greece,Europe,Religious,191.74,Spring,4.6,4.99,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Sacred Forest,Canada,North America,City,168.08,Spring,4.3,7.73,No,Premium,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Ancient Falls,France,Europe,Nature,224.77,Spring,4.6,5.19,No,Premium,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Ancient Valley,Argentina,South America,City,30.0,Summer,4.7,0.74,Yes,Budget,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Lush Forest,Vietnam,Asia,Beach,79.06,Winter,4.8,5.33,Yes,Mid-range,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Sacred Temple,USA,North America,Historical,139.02,Autumn,4.6,4.4,No,Mid-range,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Sacred Pagoda,Argentina,South America,Adventure,110.54,Spring,4.7,1.23,No,Mid-range,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Golden Park,Greece,Europe,City,109.58,Winter,4.3,9.33,Yes,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Golden Temple,New Zealand,Oceania,City,175.07,Winter,4.8,8.78,Yes,Premium,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Serene Canyon,Spain,Europe,Beach,123.51,Spring,4.7,8.98,Yes,Mid-range,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Lush Temple,Kenya,Africa,Adventure,218.59,Winter,4.6,9.01,No,Premium,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Grand Falls,Vietnam,Asia,Adventure,114.9,Winter,4.4,2.67,Yes,Mid-range,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Golden Valley,Thailand,Asia,Adventure,213.69,Autumn,4.4,8.68,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Ancient Temple,Italy,Europe,Adventure,150.26,Spring,4.4,4.47,No,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Mystic Canyon,Canada,North America,City,130.22,Autumn,4.4,3.71,Yes,Mid-range,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Sacred Valley,India,Asia,City,141.94,Summer,4.6,5.43,No,Mid-range,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Serene Ruins,Italy,Europe,Religious,102.85,Summer,4.9,9.73,No,Mid-range,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Grand Beach,Thailand,Asia,Adventure,54.06,Autumn,4.5,3.21,Yes,Budget,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Crystal Pagoda,USA,North America,Adventure,155.12,Summer,4.4,5.28,No,Premium,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Crystal Temple,Argentina,South America,Adventure,140.38,Autumn,4.6,1.88,Yes,Mid-range,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Golden Beach,Italy,Europe,Nature,166.99,Summer,4.5,2.8,No,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Sacred Valley,South Africa,Africa,Adventure,207.14,Winter,4.7,2.76,Yes,Premium,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Serene Plaza,USA,North America,Beach,109.91,Summer,4.9,6.51,No,Mid-range,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Golden Park,Greece,Europe,Nature,179.34,Winter,5.0,1.36,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Serene Falls,Spain,Europe,Adventure,125.33,Spring,4.8,2.27,No,Mid-range,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Crystal Pagoda,Mexico,North America,Historical,154.98,Autumn,4.3,6.94,Yes,Premium,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Ancient Valley,Peru,South America,Beach,150.46,Summer,4.4,2.65,No,Premium,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Hidden Valley,New Zealand,Oceania,City,96.88,Spring,4.6,7.06,Yes,Mid-range,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Sacred Canyon,Mexico,North America,Historical,181.03,Spring,4.5,1.81,Yes,Premium,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Sacred Canyon,Egypt,Africa,Religious,110.84,Summer,4.4,9.28,No,Mid-range,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Ancient Forest,Kenya,Africa,Beach,132.16,Winter,4.7,6.77,Yes,Mid-range,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Hidden Temple,Germany,Europe,Historical,161.37,Spring,4.9,5.53,No,Premium,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Crystal Beach,Kenya,Africa,Religious,133.78,Spring,4.4,9.02,No,Mid-range,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Golden Beach,Spain,Europe,Religious,162.99,Autumn,4.7,3.72,No,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Lush Forest,Peru,South America,City,214.97,Spring,4.2,9.02,Yes,Premium,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Mystic Forest,Thailand,Asia,Nature,162.52,Summer,4.6,6.6,Yes,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Golden Canyon,Italy,Europe,Historical,161.31,Winter,4.8,0.59,No,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Serene Valley,Japan,Asia,Beach,164.65,Spring,4.3,0.55,Yes,Premium,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Mystic Temple,Japan,Asia,Nature,158.74,Autumn,4.1,7.07,No,Premium,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Hidden Plaza,USA,North America,City,90.43,Autumn,4.7,7.27,Yes,Mid-range,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Ancient Plaza,Kenya,Africa,Religious,112.44,Winter,4.2,7.59,Yes,Mid-range,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Lush Falls,Italy,Europe,Adventure,198.17,Winter,4.6,6.75,Yes,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Serene Plaza,Argentina,South America,City,106.62,Winter,4.5,3.99,Yes,Mid-range,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Crystal Falls,Peru,South America,Historical,105.52,Summer,4.3,9.74,No,Mid-range,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Sacred Falls,Morocco,Africa,Nature,193.93,Autumn,4.4,6.5,No,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Crystal Beach,France,Europe,Beach,150.65,Spring,4.9,5.98,Yes,Premium,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Hidden Plaza,Greece,Europe,Nature,79.68,Autumn,4.5,7.36,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Serene Canyon,Egypt,Africa,Nature,96.46,Summer,4.6,9.43,No,Mid-range,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Sacred Temple,Italy,Europe,Religious,143.79,Autumn,4.7,9.68,Yes,Mid-range,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Hidden Park,Japan,Asia,Adventure,107.66,Summer,4.0,8.59,No,Mid-range,4.5,2.2,3.3,1.6,3.1,4.4,3.0,3.6,2.8,Warm
Crystal Forest,Peru,South America,Religious,103.7,Summer,4.3,5.79,No,Mid-range,4.333333333333333,3.8333333333333335,4.166666666666667,1.1666666666666667,2.5,3.6666666666666665,2.5,2.5,3.3333333333333335,Cold
Crystal Forest,Argentina,South America,Religious,158.66,Autumn,4.6,5.92,No,Premium,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Grand Ruins,Germany,Europe,City,161.55,Autumn,4.3,9.91,No,Premium,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Golden Canyon,Egypt,Africa,Nature,152.91,Spring,4.2,8.84,No,Premium,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Hidden Pagoda,Argentina,South America,City,193.62,Autumn,4.8,7.17,No,Premium,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Mystic Valley,India,Asia,Adventure,81.12,Winter,4.2,8.19,No,Mid-range,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Serene Canyon,Argentina,South America,Nature,165.22,Spring,4.6,9.18,Yes,Premium,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Serene Pagoda,Mexico,North America,City,175.75,Winter,5.0,8.08,Yes,Premium,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Serene Plaza,Egypt,Africa,Beach,216.54,Autumn,4.8,8.06,No,Premium,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Golden Valley,Vietnam,Asia,Adventure,134.24,Winter,4.7,4.07,Yes,Mid-range,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Sacred Pagoda,Thailand,Asia,City,158.25,Winter,4.2,0.84,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Ancient Pagoda,Italy,Europe,Nature,265.73,Winter,3.9,3.22,No,Premium,4.578947368421052,2.473684210526316,3.3684210526315788,2.210526315789474,3.0,4.631578947368421,3.1578947368421053,3.5789473684210527,2.8421052631578947,Warm
Lush Park,Germany,Europe,Adventure,129.27,Spring,4.5,0.85,No,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Lush Pagoda,Australia,Oceania,Adventure,126.4,Autumn,4.8,1.71,No,Mid-range,3.2941176470588234,3.9411764705882355,4.529411764705882,3.6470588235294117,2.588235294117647,3.5294117647058822,3.2941176470588234,2.588235294117647,3.5294117647058822,Warm
Sacred Pagoda,Brazil,South America,City,228.02,Spring,4.5,2.55,No,Premium,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Crystal Temple,Morocco,Africa,City,113.48,Spring,4.6,0.99,No,Mid-range,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Ancient Ruins,Brazil,South America,Historical,269.45,Spring,5.0,6.56,No,Premium,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Serene Valley,Germany,Europe,City,48.74,Autumn,4.6,8.05,No,Budget,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Grand Beach,Thailand,Asia,Adventure,127.78,Spring,4.0,1.25,No,Mid-range,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Golden Park,Canada,North America,Adventure,175.25,Autumn,4.8,4.39,No,Premium,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Crystal Plaza,China,Asia,Adventure,133.29,Summer,4.4,2.88,No,Mid-range,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Crystal Plaza,Thailand,Asia,Nature,238.27,Winter,4.6,6.77,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Grand Ruins,Vietnam,Asia,Beach,168.86,Autumn,5.0,6.31,No,Premium,4.142857142857143,3.4285714285714284,3.7142857142857144,1.8571428571428572,2.4285714285714284,4.285714285714286,3.142857142857143,3.0,3.4285714285714284,Cold
Golden Valley,India,Asia,City,74.03,Summer,4.4,3.88,No,Mid-range,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Mystic Beach,Morocco,Africa,Adventure,138.13,Winter,5.0,1.43,No,Mid-range,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Hidden Falls,Brazil,South America,Adventure,30.0,Spring,4.2,2.15,Yes,Budget,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Ancient Pagoda,China,Asia,Historical,50.25,Autumn,4.1,6.35,Yes,Budget,4.333333333333333,3.2222222222222223,3.5555555555555554,1.2222222222222223,3.111111111111111,3.888888888888889,3.0,3.5555555555555554,2.888888888888889,Warm
Hidden Temple,France,Europe,Religious,128.0,Summer,4.5,4.06,No,Mid-range,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Serene Temple,Morocco,Africa,Beach,152.93,Summer,5.0,8.64,No,Premium,4.285714285714286,2.5714285714285716,3.0,2.0,2.857142857142857,4.142857142857143,3.142857142857143,3.2857142857142856,3.0,Pleasant
Lush Valley,France,Europe,Nature,100.92,Winter,4.6,1.17,Yes,Mid-range,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Hidden Ruins,South Africa,Africa,City,139.88,Autumn,4.5,6.06,No,Mid-range,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Mystic Canyon,Egypt,Africa,Nature,155.68,Summer,4.7,4.19,No,Premium,4.428571428571429,3.0,3.5714285714285716,2.142857142857143,2.4285714285714284,3.7142857142857144,2.857142857142857,2.857142857142857,3.0,Cold
Grand Plaza,Greece,Europe,Nature,119.24,Summer,5.0,5.68,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Crystal Park,Canada,North America,Beach,142.41,Winter,4.7,9.63,Yes,Mid-range,3.9285714285714284,3.5714285714285716,4.285714285714286,2.142857142857143,3.0,3.5,3.2857142857142856,3.2857142857142856,3.0714285714285716,Cold
Grand Falls,Greece,Europe,Nature,125.68,Summer,4.6,3.53,No,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Grand Pagoda,Spain,Europe,Nature,120.53,Spring,4.8,1.62,Yes,Mid-range,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Lush Ruins,Greece,Europe,Adventure,197.6,Spring,4.9,8.84,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Sacred Pagoda,Thailand,Asia,City,190.64,Spring,4.7,3.18,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Serene Valley,India,Asia,Adventure,177.59,Spring,4.3,8.16,No,Premium,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Grand Falls,Brazil,South America,Adventure,148.95,Winter,4.5,4.03,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Serene Falls,France,Europe,Adventure,116.54,Spring,4.8,9.34,Yes,Mid-range,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Crystal Forest,Brazil,South America,Historical,139.12,Spring,4.8,7.63,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Grand Pagoda,France,Europe,Nature,129.6,Winter,4.6,9.07,Yes,Mid-range,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Lush Pagoda,New Zealand,Oceania,City,215.27,Autumn,4.5,3.54,No,Premium,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Serene Canyon,France,Europe,Beach,138.04,Spring,4.8,0.6,Yes,Mid-range,4.266666666666667,2.466666666666667,3.2,2.0,3.1333333333333333,4.2,3.066666666666667,3.466666666666667,2.933333333333333,Pleasant
Sacred Falls,Kenya,Africa,Nature,166.21,Spring,4.5,9.53,No,Premium,4.0,4.0,4.5,3.0,3.0,3.5,3.0,3.5,2.5,Warm
Lush Canyon,Thailand,Asia,Religious,245.62,Spring,4.8,4.76,No,Premium,4.0,3.6,3.8,2.8,3.2,4.4,3.8,2.8,3.4,Cold
Serene Falls,Argentina,South America,Historical,99.7,Winter,4.1,6.89,Yes,Mid-range,3.4,4.2,4.3,1.5,3.0,3.8,3.0,3.0,3.5,Cold
Lush Canyon,Greece,Europe,Religious,188.53,Winter,4.7,8.0,Yes,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Serene Canyon,South Africa,Africa,Nature,149.39,Spring,4.2,1.05,No,Mid-range,3.75,3.5,4.0,2.75,3.5,4.0,3.0,4.0,2.25,Warm
Sacred Ruins,Mexico,North America,Historical,45.5,Winter,5.0,8.93,No,Budget,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
Mystic Pagoda,Brazil,South America,Beach,108.73,Summer,4.4,1.86,No,Mid-range,3.875,3.625,4.0,3.625,4.0,4.25,3.0,3.5,2.5,Warm
Lush Falls,Greece,Europe,Beach,180.69,Spring,4.9,1.46,No,Premium,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Lush Valley,USA,North America,Beach,162.25,Spring,4.3,1.19,No,Premium,4.084714165503293,3.2801098212388133,3.7489909779763613,2.33892642417113,3.117380553583651,4.038431451973767,3.119507328644805,3.2649765443172725,2.934566021440665,Pleasant
Golden Ruins,Spain,Europe,Adventure,177.96,Autumn,4.8,1.27,Yes,Premium,4.25,3.1666666666666665,3.4166666666666665,3.0,3.6666666666666665,4.416666666666667,3.1666666666666665,3.4166666666666665,2.75,Pleasant
Serene Valley,Germany,Europe,Nature,77.6,Spring,4.1,8.22,Yes,Mid-range,4.2727272727272725,2.4545454545454546,3.1818181818181817,1.4545454545454546,3.6363636363636362,3.8181818181818183,3.0,4.0,2.5454545454545454,Warm
Grand Pagoda,New Zealand,Oceania,Adventure,116.79,Winter,4.9,1.29,No,Mid-range,3.3333333333333335,4.0,4.555555555555555,2.7777777777777777,3.111111111111111,3.3333333333333335,3.4444444444444446,3.0,3.2222222222222223,Cold
Golden Park,India,Asia,Historical,165.55,Autumn,4.9,4.53,No,Premium,4.777777777777778,3.0,3.0,1.6666666666666667,2.888888888888889,4.333333333333333,3.0,3.3333333333333335,2.3333333333333335,Pleasant
Ancient Ruins,Greece,Europe,City,134.88,Winter,4.5,4.95,Yes,Mid-range,4.0,3.2,3.8,3.8,3.6,4.6,3.2,3.2,3.0,Warm
Grand Pagoda,Mexico,North America,City,166.14,Summer,4.3,7.59,Yes,Premium,3.933333333333333,3.466666666666667,3.533333333333333,2.8666666666666667,3.6666666666666665,4.333333333333333,3.4,3.2,2.6666666666666665,Cold
