city,country,region,budget_numeric,spring_avg_temp,summer_avg_temp,autumn_avg_temp,winter_avg_temp,ideal_duration_days,avg_rating,annual_visitors,culture_norm,adventure_norm,nature_norm,beaches_norm,urban_norm,nightlife_norm,cuisine_norm,wellness_norm,seclusion_norm,rating_norm,annual_visitors_norm,ideal_duration_norm
New Orleans,United States,north_america,2,22.166666666666668,28.900000000000002,22.933333333333334,14.466666666666667,5.0,4.555128205128205,5.036153846153847,1.0,0.3333333333333333,0.0,0.25,0.75,1.0,1.0,0.3333333333333333,0.25,0.911025641025641,0.8285967277095662,0.35294117647058826
Raja Ampat,Indonesia,asia,3,27.599999999999998,26.566666666666666,27.133333333333336,27.600000000000005,10.5,3.5,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.7,0.0,1.0
Hamilton Island,Australia,oceania,3,25.03333333333333,20.4,24.333333333333332,27.233333333333334,6.0,4.425609756097561,5.754756097560975,0.0,0.6666666666666666,1.0,1.0,0.25,0.5,0.6666666666666666,0.6666666666666666,0.75,0.8851219512195122,0.9761212019334798,0.47058823529411764
Melbourne,Australia,oceania,2,15.233333333333334,10.033333333333333,14.533333333333333,19.666666666666668,5.0,4.425609756097561,5.754756097560975,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.75,1.0,0.6666666666666666,0.25,0.8851219512195122,0.9761212019334798,0.35294117647058826
Puebla,Mexico,north_america,2,19.633333333333333,18.53333333333333,17.133333333333336,15.366666666666667,5.0,4.49,5.368777777777778,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,1.0,0.3333333333333333,0.25,0.898,0.8968823064577887,0.35294117647058826
Richmond,United States,north_america,2,15.166666666666666,25.566666666666666,16.433333333333334,5.6000000000000005,5.0,4.555128205128205,5.036153846153847,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.911025641025641,0.8285967277095662,0.35294117647058826
Bridgetown,Barbados,north_america,2,26.933333333333334,28.03333333333333,28.0,26.333333333333332,5.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,0.75,0.6666666666666666,0.6666666666666666,0.25,0.7,0.0,0.35294117647058826
Oaxaca City,Mexico,north_america,2,22.96666666666667,21.73333333333333,20.73333333333333,19.333333333333332,5.0,4.49,5.368777777777778,1.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,1.0,0.3333333333333333,0.5,0.898,0.8968823064577887,0.35294117647058826
San Sebastián,Spain,europe,2,12.733333333333334,19.066666666666666,15.566666666666665,9.766666666666666,5.0,4.5268292682926825,4.991829268292682,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,0.75,1.0,0.3333333333333333,0.25,0.9053658536585365,0.8194971736358613,0.35294117647058826
Sedona,United States,north_america,2,11.700000000000001,23.03333333333333,14.200000000000001,5.933333333333334,4.0,4.555128205128205,5.036153846153847,0.3333333333333333,0.6666666666666666,1.0,0.0,0.25,0.25,0.3333333333333333,1.0,0.75,0.911025641025641,0.8285967277095662,0.23529411764705882
Cotonou,Benin,africa,1,29.133333333333336,26.433333333333337,27.5,28.566666666666666,4.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.0,0.5,0.7,0.0,0.23529411764705882
Sarajevo,Bosnia and Herzegovina,europe,1,11.0,21.400000000000002,12.133333333333333,2.466666666666667,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.7,0.0,0.35294117647058826
Tirana,Albania,europe,1,14.833333333333334,25.566666666666666,17.433333333333334,8.266666666666666,4.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.7,0.0,0.23529411764705882
Rio de Janeiro,Brazil,south_america,2,24.700000000000003,21.5,23.96666666666667,26.766666666666666,6.0,4.491011235955057,5.5591011235955055,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,1.0,0.6666666666666666,0.3333333333333333,0.25,0.8982022471910114,0.9359544795122382,0.47058823529411764
Curitiba,Brazil,south_america,2,18.933333333333334,15.433333333333332,18.766666666666666,21.566666666666666,5.0,4.491011235955057,5.5591011235955055,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.75,0.5,0.6666666666666666,0.3333333333333333,0.5,0.8982022471910114,0.9359544795122382,0.35294117647058826
Phnom Penh,Cambodia,asia,1,30.46666666666667,29.400000000000002,28.46666666666667,27.866666666666664,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,0.25,0.7,0.0,0.35294117647058826
Fès,Morocco,africa,1,16.5,26.399999999999995,19.599999999999998,11.366666666666667,6.0,4.534020618556701,5.324948453608247,1.0,0.0,0.0,0.0,0.5,0.25,0.6666666666666666,0.3333333333333333,0.5,0.9068041237113402,0.8878844248187618,0.47058823529411764
Toronto,Canada,north_america,2,8.166666666666666,21.366666666666664,12.033333333333333,-1.5333333333333332,5.0,4.531521739130436,4.660978260869565,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.25,1.0,0.75,0.6666666666666666,0.3333333333333333,0.25,0.9063043478260872,0.7515755649559926,0.35294117647058826
Lucca,Italy,europe,2,1.8666666666666665,12.799999999999999,5.2,-1.0999999999999999,3.0,4.504255319148936,5.6115957446808515,0.6666666666666666,0.0,0.3333333333333333,0.25,0.5,0.25,0.6666666666666666,0.3333333333333333,0.75,0.9008510638297873,0.9467312915247735,0.11764705882352941
Edmonton,Canada,north_america,2,5.0,17.933333333333334,5.033333333333334,-8.666666666666666,5.0,4.531521739130436,4.660978260869565,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.25,0.9063043478260872,0.7515755649559926,0.35294117647058826
Barcelona,Spain,europe,2,15.066666666666668,24.8,17.8,9.766666666666667,6.0,4.5268292682926825,4.991829268292682,1.0,0.3333333333333333,0.3333333333333333,0.75,1.0,1.0,1.0,0.3333333333333333,0.25,0.9053658536585365,0.8194971736358613,0.47058823529411764
Banff,Canada,north_america,3,2.7999999999999994,14.266666666666666,3.1333333333333333,-7.7,8.666666666666666,4.531521739130436,4.660978260869565,0.3333333333333333,1.0,1.0,0.0,0.25,0.25,0.3333333333333333,0.6666666666666666,0.75,0.9063043478260872,0.7515755649559926,0.784313725490196
Maputo,Mozambique,africa,2,24.3,20.266666666666666,23.5,26.73333333333333,5.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Dar es Salaam,Tanzania,africa,1,26.899999999999995,24.733333333333334,26.366666666666664,28.366666666666664,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Hamilton,Bermuda,north_america,3,20.233333333333334,26.733333333333334,24.46666666666667,18.96666666666667,4.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.25,0.7,0.0,0.23529411764705882
Santiago de Chile,Chile,south_america,2,15.266666666666667,9.399999999999999,15.466666666666667,21.066666666666666,5.0,3.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Shanghai,China,asia,2,17.266666666666666,28.400000000000002,20.333333333333332,7.433333333333333,6.0,4.453333333333333,4.928888888888888,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.8906666666666666,0.8065759138418425,0.47058823529411764
Kathmandu,Nepal,asia,1,19.566666666666666,23.76666666666667,19.46666666666667,11.566666666666668,8.666666666666666,3.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.25,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.784313725490196
Auckland,New Zealand,oceania,2,16.566666666666666,11.866666666666665,14.700000000000001,19.733333333333334,8.666666666666666,4.520430107526881,5.13989247311828,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.9040860215053762,0.8498936083826664,0.784313725490196
Québec City,Canada,north_america,2,4.333333333333333,19.299999999999997,8.533333333333333,-7.933333333333334,5.0,4.531521739130436,4.660978260869565,1.0,0.3333333333333333,0.6666666666666666,0.25,0.5,0.5,0.6666666666666666,0.3333333333333333,0.5,0.9063043478260872,0.7515755649559926,0.35294117647058826
Bogotá,Colombia,south_america,2,14.5,14.033333333333333,14.1,13.966666666666669,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Avarua,Cook Islands,oceania,2,25.866666666666664,23.066666666666666,23.7,26.333333333333332,6.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.25,0.25,0.3333333333333333,0.6666666666666666,0.75,0.7,0.0,0.47058823529411764
Izmir,Turkey,asia,2,15.800000000000002,27.7,18.9,8.7,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.75,0.75,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Skopje,North Macedonia,europe,1,13.199999999999998,24.599999999999998,14.199999999999998,3.533333333333333,4.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.3333333333333333,0.0,0.5,0.7,0.0,0.23529411764705882
Cartagena,Colombia,south_america,2,28.399999999999995,28.8,28.433333333333334,27.633333333333336,5.0,3.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Dubrovnik,Croatia,europe,2,14.866666666666665,25.7,18.3,9.700000000000001,3.0,3.5,1.0,1.0,0.3333333333333333,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.11764705882352941
Bergen,Norway,europe,3,7.599999999999999,15.066666666666668,9.366666666666667,3.1666666666666665,5.0,3.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5,0.5,0.3333333333333333,0.3333333333333333,0.75,0.7,0.0,0.35294117647058826
Bocas del Toro,Panama,north_america,2,26.133333333333336,26.433333333333334,26.266666666666666,25.0,5.0,3.5,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.75,0.7,0.0,0.35294117647058826
Santo Domingo,Dominican Republic,north_america,2,25.866666666666664,27.566666666666666,26.900000000000002,24.933333333333337,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Baños,Ecuador,south_america,1,20.599999999999998,19.533333333333335,20.6,20.533333333333335,4.0,3.5,1.0,0.3333333333333333,1.0,1.0,0.0,0.25,0.5,0.3333333333333333,0.6666666666666666,0.75,0.7,0.0,0.23529411764705882
Cairo,Egypt,africa,1,22.733333333333334,30.0,25.03333333333333,16.066666666666666,6.0,4.486363636363636,5.2176136363636365,1.0,0.3333333333333333,0.3333333333333333,0.25,0.75,0.5,0.6666666666666666,0.3333333333333333,0.25,0.8972727272727272,0.8658492691412996,0.47058823529411764
Iquitos,Peru,south_america,1,26.03333333333333,25.7,26.7,26.166666666666668,6.0,4.475,4.943653846153846,0.3333333333333333,1.0,1.0,0.0,0.25,0.25,0.3333333333333333,0.0,0.75,0.8949999999999999,0.8096070657108857,0.47058823529411764
Charlotte,United States,north_america,2,17.0,26.200000000000003,17.633333333333336,7.966666666666666,5.0,4.555128205128205,5.036153846153847,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.3333333333333333,0.3333333333333333,0.25,0.911025641025641,0.8285967277095662,0.35294117647058826
Marseille,France,europe,2,14.799999999999999,25.133333333333336,16.866666666666664,8.6,5.0,4.54125,5.251250000000001,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.90825,0.8727546007771834,0.35294117647058826
Malabo,Equatorial Guinea,africa,2,27.666666666666668,25.900000000000002,26.233333333333334,27.833333333333332,4.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.25,0.25,0.3333333333333333,0.0,0.75,0.7,0.0,0.23529411764705882
Mbabane,Eswatini,africa,1,21.266666666666666,18.133333333333336,21.666666666666668,23.26666666666667,4.0,3.5,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.75,0.7,0.0,0.23529411764705882
Sofia,Bulgaria,europe,1,10.933333333333332,21.599999999999998,12.066666666666668,1.7333333333333334,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
San Marino,San Marino,europe,2,13.533333333333331,24.53333333333333,15.9,6.3999999999999995,2.0,3.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.5,0.25,0.3333333333333333,0.0,0.75,0.7,0.0,0.0
Berlin,Germany,europe,2,10.200000000000001,19.866666666666664,10.933333333333335,3.1999999999999997,5.0,4.433333333333334,4.982314814814815,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.25,0.8866666666666667,0.8175439168180574,0.35294117647058826
Helsinki,Finland,europe,2,5.566666666666667,17.333333333333332,7.933333333333334,-1.3333333333333333,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.25,0.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.7,0.0,0.35294117647058826
Warsaw,Poland,europe,2,9.566666666666668,20.266666666666666,10.133333333333335,1.2333333333333334,5.0,3.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.75,0.75,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Verona,Italy,europe,2,13.666666666666666,24.766666666666666,14.500000000000002,4.466666666666667,4.0,4.504255319148936,5.6115957446808515,1.0,0.0,0.3333333333333333,0.0,0.75,0.5,0.6666666666666666,0.3333333333333333,0.5,0.9008510638297873,0.9467312915247735,0.23529411764705882
Annecy,France,europe,2,11.1,21.0,11.966666666666667,3.6333333333333333,4.0,4.54125,5.251250000000001,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.90825,0.8727546007771834,0.23529411764705882
Colombo,Sri Lanka,asia,1,28.766666666666666,28.433333333333334,27.53333333333333,27.5,5.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.75,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.35294117647058826
Fraser Island,Australia,oceania,2,22.03333333333333,17.099999999999998,21.666666666666668,25.2,5.0,4.425609756097561,5.754756097560975,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.75,0.8851219512195122,0.9761212019334798,0.35294117647058826
Dakar,Senegal,africa,2,22.233333333333334,27.26666666666667,27.8,22.866666666666664,6.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.75,0.5,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.47058823529411764
Wadi Rum,Jordan,middle_east,2,23.933333333333334,33.733333333333334,27.233333333333334,16.666666666666668,6.0,3.5,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.7,0.0,0.47058823529411764
Munich,Germany,europe,2,10.166666666666666,19.933333333333334,10.733333333333334,2.8333333333333335,3.0,4.433333333333334,4.982314814814815,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.75,0.6666666666666666,0.3333333333333333,0.25,0.8866666666666667,0.8175439168180574,0.11764705882352941
Freiburg,Germany,europe,2,9.866666666666667,19.2,10.766666666666666,3.3333333333333335,4.0,4.433333333333334,4.982314814814815,0.6666666666666666,0.3333333333333333,1.0,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.75,0.8866666666666667,0.8175439168180574,0.23529411764705882
Singapore,Singapore,asia,3,28.866666666666664,28.7,28.433333333333334,27.666666666666668,6.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,1.0,0.75,1.0,0.6666666666666666,0.25,0.7,0.0,0.47058823529411764
Piran,Slovenia,europe,2,13.933333333333332,24.100000000000005,15.633333333333335,6.633333333333334,4.0,3.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.75,0.5,0.5,0.6666666666666666,0.3333333333333333,0.75,0.7,0.0,0.23529411764705882
Valletta,Malta,europe,2,16.900000000000002,26.733333333333334,21.733333333333334,13.6,4.0,3.5,1.0,1.0,0.0,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,0.25,0.7,0.0,0.23529411764705882
